"experime","rep","cef","cats","subject","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15"
"Repetition - NREP - EF",0,1,3,13,0.6,0.47,0.47,0.53,0.6,0.4,0.33,0.4,0.6,0.6,0.27,0.33,0.27,0.4,0.4
"Repetition - NREP - EF",0,1,3,29,0.27,0.2,0.47,0.4,0.6,0.53,0.4,0.47,0.6,0.67,0.67,0.67,0.53,0.67,0.67
"Repetition - NREP - EF",0,1,3,37,0.6,0.53,0.53,0.33,0.53,0.8,0.53,0.53,0.67,0.4,0.6,0.53,0.6,0.53,0.47
"Repetition - NREP - EF",0,1,3,45,0.33,0.2,0.2,0.4,0.33,0.27,0.33,0.47,0.47,0.47,0.27,0.4,0.33,0.47,0.27
"Repetition - NREP - EF",0,1,3,53,0.33,0.27,0.27,0.53,0.33,0.4,0.4,0.47,0.33,0.67,0.33,0.33,0.53,0.53,0.33
"Repetition - NREP - EF",0,1,3,61,0.53,0.33,0.47,0.47,0.67,0.6,0.6,0.53,0.67,0.8,0.73,0.6,0.53,0.67,0.67
"Repetition - NREP - EF",0,1,3,69,0.2,0.13,0.4,0.47,0.2,0.13,0.27,0.2,0.2,0.33,0.2,0.33,0.27,0.33,0.33
"Repetition - NREP - EF",0,1,3,77,0.4,0.27,0.47,0.4,0.67,0.4,0.73,0.6,0.67,0.6,0.6,0.67,0.27,0.6,0.53
"Repetition - NREP - EF",0,1,3,85,0.6,0.53,0.6,0.2,0.6,0.87,0.53,0.73,0.87,0.6,0.67,0.8,0.67,0.47,0.8
"Repetition - NREP - EF",0,1,3,93,0.33,0.53,0.6,0.6,0.53,0.67,0.6,0.8,0.73,0.67,0.73,0.67,0.73,0.73,0.73
"Repetition - NREP - EF",0,1,3,101,0.27,0.4,0.6,0.4,0.47,0.6,0.73,0.6,0.6,0.67,0.67,0.6,0.8,0.67,0.67
"Repetition - NREP - EF",0,1,3,109,0.2,0.47,0.47,0.2,0.2,0.47,0.33,0.4,0.67,0.53,0.6,0.6,0.6,0.73,0.53
"Repetition - NREP - EF",0,1,3,117,0.4,0.33,0.33,0.2,0.4,0.67,0.4,0.53,0.53,0.47,0.67,0.73,0.6,0.8,0.73
"Repetition - NREP - EF",0,1,3,125,0.4,0.33,0.2,0.33,0.47,0.27,0.33,0.53,0.53,0.73,0.47,0.33,0.4,0.6,0.2
"Repetition - NREP - EF",0,1,3,133,0.27,0.2,0.87,0.4,0.27,0.2,0.4,0.73,0.4,0.6,0.4,0.6,0.33,0.6,0.47
"Repetition - NREP - EF",0,1,3,141,0.47,0.6,0.6,0.67,0.73,0.6,0.73,0.8,0.8,0.67,0.6,0.73,0.73,0.67,0.6
"Repetition - NREP - EF",0,1,3,149,0.4,0.67,0.53,0.27,0.47,0.47,0.2,0.4,0.53,0.53,0.53,0.73,0.67,0.53,0.47
"Repetition - NREP - EF",0,1,3,157,0.47,0.47,0.33,0.33,0.53,0.47,0.47,0.2,0.47,0.67,0.53,0.53,0.4,0.53,0.53
"Repetition - NREP - EF",0,1,3,165,0.53,0.27,0.33,0.33,0.13,0.2,0.53,0.4,0.2,0.6,0.53,0.87,0.67,0.53,0.73
"Repetition - NREP - EF",0,1,3,173,0.27,0.27,0.2,0.6,0.6,0.8,0.53,0.67,0.8,0.67,0.73,0.73,0.53,0.87,0.67
"Repetition - NREP - EF",0,1,3,181,0.6,0.4,0.53,0.53,0.6,0.67,0.27,0.53,0.67,0.67,0.67,0.6,0.6,0.73,0.53
"Repetition - NREP - EF",0,1,3,189,0.27,0.67,0.47,0.33,0.6,0.6,0.4,0.47,0.53,0.47,0.53,0.53,0.53,0.53,0.67
"Repetition - NREP - EF",0,1,3,197,0.53,0.8,0.4,0.8,0.4,0.33,0.13,0.47,0.6,0.6,0.4,0.67,0.53,0.47,0.67
"Repetition - NREP - EF",0,1,3,205,0.4,0.2,0.4,0.4,0.47,0.53,0.47,0.6,0.73,0.67,0.47,0.6,0.6,0.67,0.53
"Repetition - NREP - EF",0,1,3,213,0.4,0.47,0.33,0.6,0.53,0.6,0.4,0.2,0.6,0.8,0.73,0.73,0.73,0.67,0.73
"Repetition - NREP - EF",0,1,3,221,0.47,0.4,0.33,0.33,0.6,0.47,0.47,0.47,0.53,0.6,0.4,0.67,0.4,0.73,0.67
"Repetition - NREP - EF",0,1,3,229,0.4,0.47,0.47,0.4,0.53,0.53,0.47,0.47,0.53,0.6,0.67,0.73,0.67,0.67,0.73
"Repetition - NREP - EF",0,1,3,237,0.27,0.4,0.33,0.53,0.47,0.47,0.53,0.53,0.8,0.8,0.73,0.67,0.6,0.8,0.73
"Repetition - NREP - EF",0,1,3,245,0.47,0.73,0.67,0.67,0.47,0.53,0.6,0.47,0.53,0.4,0.4,0.73,0.33,0.33,0.53
"Repetition - NREP - EF",0,1,3,253,0.13,0.27,0.47,0.33,0.13,0.47,0.4,0.53,0.73,0.47,0.6,0.67,0.67,0.53,0.73
"Repetition - NREP - EF",0,1,3,261,0.47,0.4,0.53,0.4,0.6,0.6,0.53,0.67,0.8,0.67,0.6,0.67,0.67,0.67,0.53
"Repetition - NREP - EF",0,1,3,269,0.27,0.53,0.6,0.8,0.8,0.8,0.6,0.6,0.47,0.73,0.73,0.53,0.6,0.8,0.8
"Repetition - NREP - EF",0,1,3,277,0.33,0.47,0.27,0.6,0.27,0.6,0.6,0.6,0.2,0.33,0.4,0.4,0.4,0.53,0.6
"Repetition - NREP - EF - 2C",0,1,2,22,0.6,0.6,0.7,0.5,0.7,0.7,0.8,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.7
"Repetition - NREP - EF - 2C",0,1,2,30,0.4,0.8,0.4,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.7,0.8,0.9,0.8,0.8
"Repetition - NREP - EF - 2C",0,1,2,38,0.4,0.5,0.5,0.6,0.7,0.7,0.4,0.5,0.5,0.8,0.7,0.4,0.2,0.7,0.8
"Repetition - NREP - EF - 2C",0,1,2,46,0.6,0.7,0.4,0.6,0.5,0.7,0.3,0.7,0.7,0.7,0.6,0.5,0.6,0.2,0.7
"Repetition - NREP - EF - 2C",0,1,2,54,0.6,0.4,0.7,0.8,0.6,0.7,0.7,0.3,0.7,0.7,0.3,0.5,0.9,0.6,0.7
"Repetition - NREP - EF - 2C",0,1,2,62,0.4,0.8,0.6,0.8,0.7,0.8,0.7,0.6,0.8,0.8,0.9,0.6,0.7,0.8,0.5
