"subject","rep","ef","abc","cf1","cf2","cf3","cf4","cf5","cf6","cf7","cf8","cf9","cf10","cf11","cf12","cf13","cf14","cf15","cf16","cf17","cf18","cf19","cf20","ef1","ef2","ef3","ef4","ef5","ef6","ef7","ef8","ef9","ef10","ef11","ef12","ef13","ef14","ef15","ef16","ef17","ef18","ef19","ef20","Pro","Low","med","high","Transfer","LearningCF","LearningEF","VAR00002","VAR00003"
201,0,1,1,0.42,0.69,0.42,0.67,0.73,0.82,0.64,0.64,0.62,1,0.6,0.79,0.64,0.75,0.86,0.89,0.71,0.71,0.85,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.8,0.8,0.9,0.7135,NA,NA,"learning EF corrupted for 1-13"
2005,0,1,1,0.62,0.64,0.92,0.77,0.85,0.87,0.93,0.91,0.71,0.85,0.89,0.91,0.58,1,0.9,0.83,0.67,0.79,0.82,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.93,0.93,0.67,0.8825,0.805,NA,NA,""
2021,0,1,1,0.57,0.42,0.67,0.5,0.62,0.5,0.54,0.38,0.69,0.69,0.73,0.25,0.42,0.33,0.42,0.18,0.7,0.46,0.85,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.67,0.67,0.47,0.62,0.521,NA,NA,""
2029,0,1,1,0.58,0.23,0.36,0.62,0.5,0.64,0.67,0.67,0.62,0.78,0.62,0.69,0.6,0.86,0.83,0.86,0.67,0.67,0.83,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.67,0.93,0.8,0.85,0.638,NA,NA,""
2040,0,1,1,0.42,0.1,0.5,0.54,0.67,0.9,0.73,0.86,0.73,0.77,0.57,0.71,0.64,0.3,0.77,0.82,0.46,0.4,0.71,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.87,0.87,0.67,0.8525,0.605,NA,NA,""
2048,0,1,1,0.46,0.33,0.33,0.62,0.82,1,1,1,0.73,0.83,0.83,0.9,0.6,0.58,0.93,0.73,0.82,0.85,0.85,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.87,0.8,0.8,0.8675,0.7425,NA,NA,""
2056,0,1,1,0.23,0.21,0.2,0.46,0.29,0.6,0.08,0.18,0.67,0.5,0.75,0.83,0.83,0.64,0.83,0.92,0.63,0.67,0.62,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.93,0.87,0.73,0.8825,0.553,NA,NA,""
2064,0,1,1,0.23,0.31,0.6,0.38,0.67,0.5,0.73,0.5,0.42,0.71,0.58,0.38,0.85,0.86,1,0.92,0.92,1,0.92,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1,0.87,0.8,0.835,0.6695,NA,NA,""
2075,0,1,1,0.64,0.5,0.3,0.45,0.17,0.2,0.25,0.14,0.18,0.5,0.3,0.17,0.38,0.36,0.15,0.4,0.79,0.93,1,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.87,0.9675,0.432,NA,NA,""
2083,0,1,1,0.45,0.64,0.31,0.91,0.7,0.57,0.67,1,0.9,0.77,1,0.69,0.78,0.92,0.54,0.73,0.93,0.83,1,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.93,1,1,0.9,0.763,NA,NA,""
