"rep","fb","cat","subj","new","old","foil","oldCF","oldEF","dprimeOCF","dprimeOEF","dprimeN","CritOCFvsF","CritOEFvsF","CritNEWvsF"
"NR","EF","3",13,0.5333,0.5333,0.1111,0.47,0.6,1.151,1.48,1.302,0.651,NA,NA
"NR","EF","3",29,0.8,0.7,0.5556,0.73,0.67,0.462,0.289,0.691,-0.382,NA,NA
"NR","EF","3",37,0.9333,0.9333,0.1111,0.87,1,2.353,3.28,2.702,0.05,NA,NA
"NR","EF","3",45,0.6333,0.5,0.2222,0.4,0.6,0.519,1.026,1.104,0.513,NA,NA
"NR","EF","3",53,0.8333,0.9,0.6667,0.87,0.93,0.686,1.036,0.514,-0.783,NA,NA
"NR","EF","3",61,0.7,0.7333,0.1111,0.73,0.73,1.839,1.839,1.751,0.307,NA,NA
"NR","EF","3",69,0.7667,0.7,0.3333,0.6,0.8,0.693,1.282,1.179,0.093,NA,NA
"NR","EF","3",77,0.7,0.3667,0,0.4,0.33,1.8,1.614,2.578,1.154,NA,NA
"NR","EF","3",85,0.8,0.6667,0.2222,0.53,0.8,0.848,1.614,1.614,0.348,NA,NA
"NR","EF","3",93,0.6667,0.6667,0,0.8,0.53,2.895,2.129,2.494,0.606,NA,NA
"NR","EF","3",101,0.8,0.7667,0.4444,0.73,0.8,0.764,0.993,0.993,-0.231,NA,NA
"NR","EF","3",109,0.5667,0.6333,0.4444,0.67,0.6,0.591,0.404,0.328,-0.144,NA,NA
"NR","EF","3",117,0.7667,0.7333,0.3333,0.8,0.67,1.282,0.88,1.179,-0.201,NA,NA
"NR","EF","3",125,0.7,0.6333,0.4444,0.6,0.67,0.404,0.591,0.675,-0.051,NA,NA
"NR","EF","3",133,0.7,0.6667,0,0.73,0.6,2.667,2.307,2.578,0.72,NA,NA
"NR","EF","3",141,0.7667,0.6333,0.1111,0.67,0.6,1.666,1.48,1.965,0.393,NA,NA
"NR","EF","3",149,0.7333,0.6667,0.2222,0.6,0.73,1.026,1.385,1.385,0.259,NA,NA
"NR","EF","3",157,0.8,0.9333,0.7778,0.93,0.93,0.704,0.704,0.069,-1.124,NA,NA
"NR","EF","3",165,0.8,0.5667,0,0.67,0.47,2.494,1.978,2.895,0.807,NA,NA
"NR","EF","3",173,0.6333,0.5667,0.5556,0.73,0.4,0.462,-0.404,0.181,-0.382,NA,NA
"NR","EF","3",181,0.6333,0.4667,0.3333,0.4,0.53,0.187,0.515,0.772,0.347,NA,NA
"NR","EF","3",189,0.6,0.6333,0.1111,0.67,0.6,1.666,1.48,1.48,0.393,NA,NA
"NR","EF","3",197,0.7667,0.8333,0.4444,0.73,0.93,0.764,1.627,0.89,-0.231,NA,NA
