"","subject","nrep","ef","cf1","cf2","cf3","cf4","cf5","cf6","cf7","cf8","cf9","cf10","cf11","cf12","cf13","cf14","cf15","ef1","ef2","ef3","ef4","ef5","ef6","ef7","ef8","ef9","ef10","ef11","ef12","ef13","ef14","ef15","CFLearn","EFLearn","TOldEF","TOldCF","TRNOld","TRNew","TRNPro","TREFvsCF"
"1",101,0,1,0.17,0.5,0.5,0.75,0.75,0.92,0.83,0.75,0.75,1,0.83,0.75,0.83,0.92,0.83,0,0.33,0.33,0,0.67,0.33,0,0.33,0.33,0.67,1,0.33,0.33,0.33,0.67,0.738666666666667,0.376666666666667,0.92,0.67,0.87,0.4,0.67,0.25
"2",117,0,1,0.42,0.58,0.75,0.75,0.58,0.42,0.5,0.58,0.75,0.58,0.83,0.92,0.92,0.83,0.83,0,0,0,0.67,0,0.67,0,0,0.67,0.33,1,0.67,0.67,0.67,1,0.682666666666667,0.423333333333333,0.75,1,0.8,0.2,0.33,-0.25
"3",121,0,1,0.33,0.58,0.42,0.17,0.5,0.58,0.5,0.5,0.83,0.75,0.92,0.92,0.92,1,0.92,0,0.67,0.33,0,0.33,0,0.67,0,0.67,0.33,0.33,1,0.33,0.67,1,0.656,0.422,0.92,1,0.93,0.93,1,-0.08
"4",125,0,1,0.58,0.92,0.92,0.75,0.83,0.58,0.83,1,0.75,0.83,0.92,0.92,0.92,1,0.92,0.33,0,0.67,0.33,0.33,0.33,0.33,0.33,0.67,1,0.67,1,1,1,1,0.844666666666667,0.599333333333333,1,1,1,0.33,1,0
"5",129,0,1,0.58,0.67,0.17,0.58,0.5,0.42,0.42,0.83,0.75,0.83,0.83,0.83,0.75,0.75,0.75,0,0.33,0.67,0.33,0.33,0,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0,0.33,0.644,0.332,0.92,1,0.93,0.6,1,-0.08
"6",133,0,1,0.08,0.17,0.08,0.25,0.17,0.5,0.33,0.75,0.75,0.75,0.5,0.5,0.58,0.67,0.5,0.67,0.33,0,0,0.33,0.33,0.67,0,0,0.33,0.33,0.67,0.67,0,0.33,0.438666666666667,0.310666666666667,0.75,0,0.6,0.47,0.67,0.75
"7",137,0,1,0.5,0.42,0.58,0.58,0.42,0.5,0.58,0.58,0.58,0.5,0.5,0.75,0.67,0.92,0.83,0.33,0,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0,0,0.67,0.67,0.67,0.594,0.288,0.92,1,0.93,0.6,0.67,-0.08
"8",141,0,1,0.42,0.5,0.58,0.58,0.17,0.58,0.42,0.58,0.67,0.42,0.42,0.33,0.42,0.33,0.33,1,0.67,0.33,0.33,0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0,0.33,0,0.45,0.398666666666667,0.83,0.67,0.8,0.4,0.67,0.16
"9",145,0,1,0.42,0.58,0.42,0.25,0.67,0.75,0.67,0.75,0.42,0.67,0.67,0.67,0.67,0.67,0.75,0,0,0.33,1,0.67,1,0.33,0,0.33,0.33,1,0.33,0.33,0.67,0.67,0.602,0.466,1,1,1,0.8,1,0
"10",149,0,1,0.42,0.42,0.58,0.25,0.58,1,0.58,0.83,0.92,0.67,0.67,0.75,0.67,0.92,0.92,0.33,0,0.33,0.33,0.67,0.67,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.67,0.67,0.678666666666667,0.421333333333333,0.83,0.67,0.8,0.67,1,0.16
"11",153,0,1,0.58,0.58,0.33,0.33,0.42,0.42,0.67,0.25,0.33,0.42,0.5,0.58,0.75,0.67,0.83,0,0,0.33,1,0,0.33,0.67,0.67,0.67,0.33,0,0,0.33,0.67,0.33,0.510666666666667,0.355333333333333,1,1,1,0.33,1,0
"12",157,0,1,0.5,0.92,0.58,0.83,0.67,0.75,0.5,0.75,0.58,0.75,0.92,1,0.83,0.92,0.83,0.33,0,0,0,0.33,1,0.33,0.67,0.33,0.33,0.33,0,0.33,0.33,1,0.755333333333333,0.354,1,1,1,0.8,1,0
"13",161,0,1,0.33,0.17,0.42,0.58,0.75,0.75,0.58,0.58,0.67,0.83,0.83,0.92,0.92,0.92,1,0.33,0.67,0.67,0,0,0.33,0.67,0.67,1,0.67,0.67,0.67,0.33,1,1,0.683333333333333,0.578666666666667,0.83,0.67,0.8,0.33,1,0.16
"14",165,0,1,0.42,0.67,0.83,0.58,0.83,0.75,1,0.83,0.92,0.92,1,0.92,0.83,0.67,0.92,1,0.33,0.67,1,0.33,0.67,0,0.33,0.33,1,1,0.67,1,0.67,0.67,0.806,0.644666666666667,0.92,1,0.93,0.53,0.67,-0.08
"15",169,0,1,0.42,0.42,0.25,0.58,0.67,0.83,1,1,1,0.83,1,0.83,0.92,0.92,1,1,0.33,0.33,0,0,0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.67,0.33,0,0.778,0.399333333333333,0.67,1,0.73,0.4,0.67,-0.33
"16",173,0,1,0.42,0.42,0.42,0.58,0.67,0.58,0.83,0.83,0.92,0.92,1,0.92,0.92,0.92,0.83,0.33,0,0,0.33,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.33,1,0.67,1,0.745333333333333,0.534,0.75,1,0.8,0.53,1,-0.25
"17",177,0,1,0.5,0.5,0.33,0.5,0.33,0.08,0.25,0.5,0.42,0.58,0.42,0.58,0.17,0.25,0.5,0.33,1,0.33,0.33,0.33,0.33,0,0,0.33,0.67,0.33,0.67,0.33,1,0.67,0.394,0.443333333333333,0.83,1,0.87,0.67,0.67,-0.17
"18",181,0,1,0.17,0.5,0.5,0.58,0.58,0.58,0.75,0.42,0.83,0.58,0.42,0.58,0.75,0.75,0.75,0.33,0.33,0.33,0,0,0.33,0.33,0.67,0.33,0.67,1,0.33,0.67,0.33,0.33,0.582666666666667,0.398666666666667,1,1,1,0.67,1,0
"19",185,0,1,0.25,0.17,0.25,0.42,0.42,0.92,0.75,0.67,0.83,0.92,0.83,0.75,0.75,0.92,0.92,0.33,0.33,0,0,0.67,0,0.33,0,0.33,0.33,0.33,0.67,0.67,0.67,0.67,0.651333333333333,0.355333333333333,0.83,0.67,0.8,0.33,0.33,0.16
"20",189,0,1,0.42,0.5,0.5,0.5,0.83,0.67,0.67,0.92,0.83,0.92,0.83,0.92,0.92,1,1,0,0.33,0.33,0.67,0,0.67,0.67,0.67,0,0.67,0.33,0.33,1,0.67,1,0.762,0.489333333333333,1,1,1,0.33,0.67,0
"21",193,0,1,0.33,0.67,0.67,0.67,0.42,0.42,0.67,0.67,0.5,0.5,0.67,0.83,0.83,0.92,0.92,0,0,0.33,1,0,0.67,0.33,0,0,0.67,0.33,0.33,0.33,1,0.67,0.646,0.377333333333333,1,1,1,0.4,1,0
"22",197,0,1,0.33,0.58,0.75,0.75,0.92,0.75,0.58,0.83,1,1,1,1,1,1,0.92,0,0,0.33,0,0.33,0.33,0.67,0.67,0.67,1,0.67,0.33,0.67,1,0.67,0.827333333333333,0.489333333333333,0.92,1,0.93,0.4,0.33,-0.08
"23",201,0,1,0.58,0.17,0.58,0.58,0.58,0.33,0.67,0.67,0.58,0.92,0.83,0.92,1,1,1,0,0,0,0,0,0,0,0.67,1,1,1,1,1,1,0.67,0.694,0.489333333333333,1,0.67,0.93,0.6,1,0.33
"24",205,0,1,0.58,0.33,0.58,0.5,0.5,0.67,0.5,0.67,0.75,0.83,0.67,0.67,0.83,0.75,0.92,0,0.33,0.33,0.67,0,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0,0.67,0.65,0.354666666666667,0.92,1,0.93,0.47,1,-0.08
"25",209,0,1,0.17,0.33,0.25,0.42,0.25,0.33,0.42,0.33,0.25,0.42,0.17,0.33,0.33,0.33,0.33,0.33,0.33,0,0,0,0.67,0.33,0.33,0,0.33,0.67,0.33,0.33,0,0.67,0.310666666666667,0.288,0.75,0.67,0.73,0.33,0.67,0.08
"26",213,0,1,0.5,0.75,0.83,0.83,0.58,0.75,0.67,0.58,0.58,0.83,1,0.92,0.75,0.92,1,0,0.33,0.67,0,0,0,0.33,0.33,0.33,0.67,0.67,1,1,1,1,0.766,0.488666666666667,0.83,1,0.87,0.47,1,-0.17
"27",217,0,1,0.25,0.67,0.58,0.5,0.58,0.42,0.83,0.92,0.92,0.92,1,1,0.92,1,1,1,0.67,0.67,0.33,1,0.67,0.67,0.67,0.67,0.67,1,1,1,1,1,0.767333333333333,0.801333333333333,1,1,1,0.47,1,0
"28",221,0,1,0.58,0.42,0.42,0.25,0.42,0.58,0.83,0.75,0.75,0.83,0.75,0.83,0.83,0.83,0.92,0.33,0.67,0,0.33,0.67,0.67,0.33,0,0.33,0.67,0.33,0.33,1,0.33,0.33,0.666,0.421333333333333,1,1,1,0.53,1,0
"29",229,0,1,0.25,0.5,0.67,0.75,0.75,0.75,0.83,0.75,0.83,0.92,1,1,1,0.92,1,0.67,0,0.67,0.33,0.33,0.33,0.67,0.67,1,1,1,1,0.67,0.67,1,0.794666666666667,0.667333333333333,1,1,1,0.87,1,0
"30",102,1,1,0.25,0.67,0.17,0.25,0.58,0.42,0.42,0.17,0.42,0.17,0.58,0.33,0.25,0.08,0.5,0.33,0.33,0,0.67,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0,0.33,0.350666666666667,0.309333333333333,0.53,0.8,0.67,0.7,1,-0.27
"31",106,1,1,0.33,0.08,0.5,0.83,0.92,0.92,0.83,1,0.83,0.83,1,1,0.67,0.92,0.92,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.772,0.066,0.6,0.6,0.6,0.67,1,0
"32",110,1,1,0.17,0.33,1,0.92,1,0.92,1,0.92,0.92,1,0.92,1,1,1,0.83,0.33,0,0.33,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0.862,0.088,0.73,0.93,0.83,0.53,1,-0.2
"33",114,1,1,0.67,0.42,0.58,0.5,0.33,0.33,0.67,0.42,0.75,1,0.33,0.92,0.5,0.5,0.33,0,0,0,0.33,0,0.33,0.33,0.33,0.33,0,0.33,0.33,0.67,0,0.67,0.55,0.243333333333333,0.73,0.73,0.73,0.77,1,0
"34",122,1,1,0.25,0.42,0.83,0.58,0.75,0.67,0.58,0.25,0.58,0.5,0.67,0.67,0.5,0.58,0.58,0.33,0,0.33,0,0,0.67,0,0,0.33,0,0,0,0.33,0,0,0.560666666666667,0.132666666666667,0.67,0.47,0.57,0.4,1,0.2
"35",126,1,1,0.58,0.17,0.83,0.83,0.83,0.75,0.92,0.83,1,0.83,0.67,0.75,0.83,1,0.75,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0.33,0,0.33,0.771333333333333,0.088,0.6,0.47,0.53,0.63,0.67,0.13
"36",130,1,1,0.5,0.58,0.58,0.58,0.75,0.67,0.75,0.75,0.92,0.92,1,1,0.92,0.92,0.92,0.33,0.33,0.33,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0.784,0.11,0.93,0.87,0.9,0.8,1,0.0600000000000001
"37",134,1,1,0.33,0.67,0.42,0.5,0.67,0.92,0.67,0.75,0.58,0.58,0.67,0.92,0.92,0.92,0.75,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0.67,0,0.33,0.684666666666667,0.133333333333333,0.6,0.73,0.67,0.77,1,-0.13
"38",138,1,1,0.25,0.25,0.25,0.42,0.17,0.33,0.5,0.42,0.25,0.5,0.33,0.42,0.42,0.25,0.5,0.67,0.67,0,0,0.67,0,0,1,0,0.33,1,0.67,0.33,0.67,0.67,0.350666666666667,0.445333333333333,0.73,0.73,0.73,0.57,1,0
"39",142,1,1,0.42,0.67,0.58,0.75,0.5,0.58,0.58,0.75,0.67,0.67,0.5,0.83,0.83,0.67,0.58,0.33,0.33,0.33,0.33,0,0,0,0.33,0,0,0,0,0,0.33,0,0.638666666666667,0.132,1,1,1,1,1,0
"40",146,1,1,0.5,0.58,0.33,0.5,0.17,0.33,0.33,0.17,0.25,0.5,0.67,0.42,0.33,0.25,0.25,0,0.33,0,0.67,0,0.33,0.33,0,0.67,0.33,0.33,0.33,0,0.33,0.67,0.372,0.288,0.73,0.67,0.7,0.67,0.67,0.0599999999999999
"41",154,1,1,0.58,0.67,0.92,0.92,1,1,1,1,1,1,1,1,1,1,1,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.939333333333333,0.022,0.67,0.87,0.77,0.87,1,-0.2
"42",158,1,1,0.42,0.75,0.58,0.75,0.75,0.67,0.75,0.83,0.92,0.42,0.83,0.75,0.92,0.92,0.83,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0.33,0,0.739333333333333,0.066,0.47,0.6,0.53,0.67,1,-0.13
"43",162,1,1,0.17,0.25,0.58,0.25,0.67,0.33,0.58,0.42,0.33,0.42,0.75,0.42,0.08,0.5,0.25,0.33,0.67,0,0.33,0.33,0.67,0,0.33,0.67,0,0.67,0.33,0.33,0.33,0,0.4,0.332666666666667,0.4,0.67,0.53,0.5,0.67,-0.27
"44",174,1,1,0.67,0.92,0.75,0.75,0.83,0.92,0.83,0.92,0.75,1,1,0.92,1,1,1,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.884,0.022,0.93,0.87,0.9,0.9,1,0.0600000000000001
"45",178,1,1,0.58,0.5,0.42,0.5,0.42,0.5,0.5,0.75,0.83,0.83,0.5,1,0.67,1,0.67,0.33,0,0.67,0.33,0,0,0,0,0,0,0,0,0,0,0.33,0.644666666666667,0.110666666666667,0.2,0.33,0.27,0.47,0.67,-0.13
"46",182,1,1,0.25,0.75,1,0.75,0.75,0.83,0.92,0.75,0.83,0.75,0.75,1,0.83,0.92,0.75,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.788666666666667,0.044,0.67,0.93,0.8,0.87,1,-0.26
"47",186,1,1,0.25,0.42,0.58,0.33,0.5,0.67,0.5,0.42,0.42,0.58,0.42,0.75,0.5,0.75,0.58,0.33,0.33,0.33,0.33,0.33,0,0.33,0,0.67,0.67,0,0.33,0,0.33,0.33,0.511333333333333,0.287333333333333,0.93,0.87,0.9,1,1,0.0600000000000001
"48",190,1,1,0.42,0.42,0.25,0.42,0.58,0.58,0.58,0.5,0.67,0.75,0.5,0.58,0.58,0.42,0.58,0.67,0,0.33,0,0,0,0,0.33,0,0,0.33,0,0.33,0.67,0.67,0.522,0.222,0.6,0.73,0.67,0.57,1,-0.13
"49",194,1,1,0.92,0.92,0.67,0.83,0.67,0.67,0.75,1,0.92,0.67,0.83,0.75,0.67,0.92,0.92,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.807333333333333,0.044,0.6,0.6,0.6,0.57,1,0
"50",198,1,1,0.75,0.33,0.25,0.67,0.58,0.75,0.92,0.92,0.92,1,0.92,0.83,0.92,0.92,0.83,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0.767333333333333,0.088,0.87,1,0.93,0.73,1,-0.13
"51",202,1,1,0.42,0.42,0.5,0.42,0.5,0.75,0.83,0.67,0.83,0.58,0.75,0.75,0.75,0.67,0.75,0.33,0.33,0.67,0,0,0.33,0,0,0,0,0.33,0,0,0,0.33,0.639333333333333,0.154666666666667,0.8,0.8,0.8,0.6,1,0
